date,museum,daily_visitors
2019-02-14 00:00:00,M Shed,1240.0
2019-02-14 00:00:00,Bristol Museum,1240.0
2019-02-13 00:00:00,M Shed,1430.0
2019-02-13 00:00:00,Bristol Museum,1606.0
2019-02-12 00:00:00,M Shed,669.0
2019-02-12 00:00:00,Bristol Museum,1094.0
2019-02-11 00:00:00,M Shed,1233.0
2019-02-10 00:00:00,M Shed,3633.0
2019-02-10 00:00:00,Bristol Museum,2843.0
2019-02-09 00:00:00,M Shed,4467.0
2019-02-09 00:00:00,Bristol Museum,3421.0
2019-02-08 00:00:00,M Shed,1291.0
2019-02-08 00:00:00,Bristol Museum,1282.0
2019-02-07 00:00:00,M Shed,1304.0
2019-02-07 00:00:00,Bristol Museum,1133.0
2019-02-06 00:00:00,M Shed,1375.0
2019-02-06 00:00:00,Bristol Museum,1742.0
2019-02-05 00:00:00,M Shed,1150.0
2019-02-05 00:00:00,Bristol Museum,1259.0
2019-02-03 00:00:00,M Shed,3521.0
2019-02-03 00:00:00,Bristol Museum,3188.0
2019-02-02 00:00:00,Bristol Museum,3165.0
2019-02-02 00:00:00,M Shed,3737.0
2019-02-01 00:00:00,Bristol Museum,585.0
2019-02-01 00:00:00,M Shed,437.0
2019-01-31 00:00:00,M Shed,898.0
2019-01-31 00:00:00,Bristol Museum,956.0
2019-01-30 00:00:00,M Shed,1296.0
2019-01-30 00:00:00,Bristol Museum,1107.0
2019-01-29 00:00:00,M Shed,1195.0
2019-01-29 00:00:00,Bristol Museum,814.0
2019-01-28 00:00:00,Bristol Museum,0.0
2019-01-28 00:00:00,M Shed,0.0
2019-01-27 00:00:00,Bristol Museum,1846.0
2019-01-27 00:00:00,M Shed,4184.0
2019-01-26 00:00:00,M Shed,4223.0
2019-01-26 00:00:00,Bristol Museum,2636.0
2019-01-25 00:00:00,M Shed,1053.0
2019-01-25 00:00:00,Bristol Museum,794.0
2019-01-24 00:00:00,M Shed,996.0
2019-01-24 00:00:00,Bristol Museum,780.0
2019-01-23 00:00:00,M Shed,1224.0
2019-01-23 00:00:00,Bristol Museum,831.0
2019-01-22 00:00:00,M Shed,912.0
2019-01-22 00:00:00,Bristol Museum,974.0
2019-01-21 00:00:00,Bristol Museum,0.0
2019-01-21 00:00:00,M Shed,0.0
2019-01-20 00:00:00,M Shed,3483.0
2019-01-20 00:00:00,Bristol Museum,1667.0
2019-01-19 01:00:00,M Shed,3794.0
2018-12-29 01:00:00,Bristol Museum,1927.0
2018-12-29 01:00:00,M Shed,3383.0
2018-12-28 01:00:00,Blaise Castle House Museum,362.0
2018-12-28 01:00:00,M Shed,3018.0
2018-12-28 01:00:00,Bristol Museum,1715.0
2018-12-27 01:00:00,Blaise Castle House Museum,405.0
2018-12-27 01:00:00,M Shed,2695.0
2018-12-27 01:00:00,Bristol Museum,1206.0
2018-12-26 00:00:00,Bristol Museum,0.0
2018-12-26 00:00:00,M Shed,0.0
2018-12-25 00:00:00,Bristol Museum,0.0
2018-12-25 00:00:00,M Shed,0.0
2018-12-24 01:00:00,M Shed,713.0
2018-12-24 01:00:00,Bristol Museum,389.0
2018-12-23 01:00:00,Blaise Castle House Museum,118.0
2018-12-23 01:00:00,The Georgian House Museum,28.0
2018-12-23 01:00:00,The Red Lodge Museum,26.0
2018-12-23 01:00:00,M Shed,1526.0
2018-12-23 01:00:00,Bristol Museum,1016.0
2018-12-22 01:00:00,The Red Lodge Museum,36.0
2018-12-22 01:00:00,The Georgian House Museum,22.0
2018-12-22 01:00:00,Blaise Castle House Museum,205.0
2018-12-22 01:00:00,M Shed,1731.0
2018-12-22 01:00:00,Bristol Museum,1523.0
2018-12-21 01:00:00,Blaise Castle House Museum,52.0
2018-12-21 01:00:00,M Shed,1257.0
2018-12-21 00:00:00,Bristol Museum,927.0
2018-12-20 01:00:00,Blaise Castle House Museum,89.0
2018-12-20 01:00:00,M Shed,1087.0
2018-12-20 00:00:00,Bristol Museum,851.0
2018-12-19 01:00:00,M Shed,1055.0
2018-12-19 01:00:00,Bristol Museum,848.0
2018-12-18 01:00:00,The Georgian House Museum,53.0
2018-12-18 01:00:00,M Shed,825.0
2018-12-18 01:00:00,Bristol Museum,867.0
2018-12-18 01:00:00,The Red Lodge Museum,47.0
2018-12-17 01:00:00,The Georgian House Museum,18.0
2018-12-17 01:00:00,The Red Lodge Museum,15.0
2018-12-17 00:00:00,Bristol Museum,0.0
2018-12-17 00:00:00,M Shed,0.0
2018-12-16 01:00:00,The Georgian House Museum,21.0
2018-12-16 01:00:00,Blaise Castle House Museum,132.0
2018-12-16 01:00:00,The Red Lodge Museum,19.0
2018-12-16 01:00:00,The Red Lodge Museum,43.0
2018-12-16 01:00:00,M Shed,1728.0
2018-12-16 01:00:00,Bristol Museum,1208.0
2018-12-15 01:00:00,The Georgian House Museum,40.0
2018-12-15 01:00:00,The Red Lodge Museum,51.0
2018-12-15 01:00:00,Blaise Castle House Museum,46.0
2018-12-15 01:00:00,ROMAN-VILLA,2.0
2018-12-01 01:00:00,ROMAN-VILLA,2.0
2018-12-01 01:00:00,The Red Lodge Museum,87.0
2018-12-01 01:00:00,M Shed,2717.0
2018-12-01 01:00:00,Bristol Museum,1775.0
