date,temperature_mean (°C),temperature_range (°C),precipitation_sum (mm),snowfall_sum (cm),wind_speed_max (km/h)
2015-04-01,6.6,5.1000000000000005,0.4,0.0,30.6
2015-04-02,8.3,3.0,0.6,0.0,27.9
2015-04-03,9.0,3.4000000000000004,4.5,0.0,22.5
2015-04-04,8.7,4.1000000000000005,0.0,0.0,22.0
2015-04-05,9.2,8.9,0.2,0.0,14.0
2015-04-06,9.3,12.8,0.0,0.0,13.7
2015-04-07,9.4,11.6,0.0,0.0,7.6
2015-04-08,10.2,12.399999999999999,0.0,0.0,8.9
2015-04-09,10.6,11.6,0.0,0.0,10.2
2015-04-10,10.8,13.7,0.0,0.0,19.2
2015-04-11,8.9,5.199999999999999,1.0,0.0,26.1
2015-04-12,9.1,9.6,0.0,0.0,35.8
2015-04-13,10.7,11.6,0.0,0.0,17.1
2015-04-14,11.1,10.000000000000002,0.0,0.0,16.8
2015-04-15,12.4,12.6,0.0,0.0,14.5
2015-04-16,12.6,11.799999999999999,0.0,0.0,16.8
2015-04-17,10.7,8.0,0.0,0.0,19.0
2015-04-18,9.4,10.0,0.0,0.0,26.5
2015-04-19,7.3,7.999999999999999,0.0,0.0,20.6
2015-04-20,10.4,12.0,0.0,0.0,14.8
2015-04-21,11.3,11.7,0.0,0.0,17.7
2015-04-22,10.9,11.700000000000001,0.0,0.0,23.2
2015-04-23,10.4,9.7,0.0,0.0,12.8
2015-04-24,10.1,11.0,0.0,0.0,20.0
2015-04-25,12.3,5.5,2.9,0.0,21.3
2015-04-26,8.4,5.499999999999999,0.2,0.0,16.9
2015-04-27,6.6,9.200000000000001,0.0,0.0,21.0
2015-04-28,7.2,7.000000000000001,0.1,0.0,23.0
2015-04-29,8.4,5.0,2.4,0.0,24.3
2015-04-30,9.2,6.700000000000001,0.1,0.0,20.2
2015-05-01,8.5,6.1000000000000005,0.0,0.0,22.6
2015-05-02,9.4,6.799999999999999,0.0,0.0,21.9
2015-05-03,12.7,4.800000000000001,7.6,0.0,25.2
2015-05-04,12.0,6.0,6.4,0.0,24.7
2015-05-05,12.0,4.1,8.6,0.0,42.5
2015-05-06,10.2,4.800000000000001,4.2,0.0,39.7
2015-05-07,10.7,5.699999999999999,0.0,0.0,19.5
2015-05-08,10.4,6.3999999999999995,3.2,0.0,23.6
2015-05-09,11.3,5.1,0.5,0.0,28.0
2015-05-10,11.9,7.5,0.0,0.0,24.1
2015-05-11,13.5,6.199999999999999,0.2,0.0,23.6
2015-05-12,11.5,5.9,0.3,0.0,31.6
2015-05-13,11.3,11.7,0.0,0.0,10.5
2015-05-14,9.5,1.4000000000000004,14.8,0.0,24.6
2015-05-15,10.6,7.0,0.0,0.0,17.3
2015-05-16,12.1,5.0,0.0,0.0,20.0
2015-05-17,10.2,6.9,0.0,0.0,19.4
2015-05-18,10.2,4.1,11.4,0.0,30.9
2015-05-19,9.2,5.199999999999999,3.5,0.0,27.8
2015-05-20,9.7,8.399999999999999,0.4,0.0,20.4
2015-05-21,11.3,7.800000000000001,0.0,0.0,20.0
2015-05-22,12.9,9.4,0.5,0.0,15.1
2015-05-23,14.4,7.099999999999998,0.0,0.0,13.9
2015-05-24,13.2,7.199999999999999,1.3,0.0,16.4
2015-05-25,12.3,6.800000000000001,0.0,0.0,10.6
2015-05-26,13.2,6.199999999999999,0.0,0.0,13.4
2015-05-27,12.0,9.7,0.0,0.0,23.5
2015-05-28,11.8,5.1,0.1,0.0,22.2
2015-05-29,10.6,4.0,6.4,0.0,28.4
2015-05-30,11.1,7.4,0.0,0.0,19.5
2015-05-31,11.9,4.800000000000001,1.2,0.0,26.4
2015-06-01,10.2,5.6,9.2,0.0,40.4
2015-06-02,13.5,3.8000000000000007,3.5,0.0,37.0
2015-06-03,12.5,5.300000000000001,0.0,0.0,22.2
2015-06-04,14.0,11.0,0.0,0.0,15.3
2015-06-05,14.4,7.300000000000001,0.1,0.0,24.3
2015-06-06,11.9,5.4,0.0,0.0,28.5
2015-06-07,12.6,10.400000000000002,0.0,0.0,18.9
2015-06-08,12.2,9.1,0.0,0.0,19.2
2015-06-09,11.3,7.5,0.0,0.0,24.4
2015-06-10,11.8,9.5,0.0,0.0,23.1
