painter_id,wikipedia_slug,painter_name,summary,url
3001,Pierre_Roland_Renoir,Pierre Roland Renoir,"Pierre Roland Renoir (born July 16, 1958) is a Canadian painter and the great-grandson of Pierre-Auguste Renoir.
Born in Monaco, Pierre Roland Renoir was raised in Cagnes-sur-Mer, the town in France where his great-grandfather painted and sculpted in his final years. He developed an interest in the visual arts at a young age and by the time he was fifteen, had already begun working on metallic plates using the dry-point engraving technique.
In 1978, he emigrated to Canada and made his home in Edmonton, Alberta. In 1981, after rebuilding his portfolio, his first professional art exhibition was organized in Edmonton. Encouraged by the response and appreciation of the public, he began a wider range of exhibitions throughout Canada, the United States and Europe.",https://en.wikipedia.org/wiki/Pierre_Roland_Renoir
3002,Pierre_Roy_(painter),Pierre Roy (painter),"Pierre Roy (10 August 1880 – 26 September 1950) was a French surrealist painter. He is known for his realistically painted compositions of ordinary objects in unexpected arrangements.
He was the eldest of four children of the secretary of the management board of the Musée d'Arts de Nantes who all became amateur painters. After gaining his baccalauréat at the local school he joined a firm of architects before enrolling at the Ecole des Beaux-Arts in Paris. Disappointed with the course, he left to work on the designs for the 1900 Paris Exposition.
In 1905, he decided to devote himself to painting, beginning in 1906 at the Salon of the Société Nationale des Beaux-Arts (SNBA), a painters collective. He exhibited in 1907, 1908, 1913 and 1914 at the Société des Artistes Indépendants. In 1925, he took part in the first exhibition by surrealist painters alongside Giorgio de Chirico, Max Ernst and Pablo Picasso, and in 1926 had his first solo exhibition. In 1933 he was appointed for five years as a naval artist.
An exhibition devoted to his work was held at the Galerie des Beaux-Arts in Paris in 1935, and his work was displayed at the 1937 World's Fair and the Montaigne Gallery in Paris in 1938. He travelled and exhibited in galleries around the world: in New York at the Brummer Gallery in 1930 and 1933, at the Julien Levy Gallery in 1932, at the Museum of Modern Art in New York in 1936, at the Carstairs Gallery in 1949, in London in 1934, at the Wildenstein Gallery and in Hawaii in 1939 at the Honolulu Academy of Arts.
In addition he created stage sets, several covers for Vogue magazine, and advertising posters.
His work is classed as surrealism, and is based on assemblages of everyday objects such as shells, vegetables and fruits, woollen reels, ears and seeds, eggs and ribbons arranged to create poetic images.",https://en.wikipedia.org/wiki/Pierre_Roy_(painter)
3003,Pierre_Soulages,Pierre Soulages,"Pierre Jean Louis Germain Soulages (French: [sulaʒ]; 24 December 1919 – 25 October 2022) was a French painter, printmaker, and sculptor. In 2014, President François Hollande of France described him as ""the world's greatest living artist."" His works are held by leading museums of the world, and there is a museum dedicated to his art in his hometown of Rodez.
Soulages is known as ""the painter of black"", owing to his interest in the colour ""both as a colour and a non-colour. When light is reflected on black, it transforms and transmutes it. It opens a mental field all its own."" He saw light as a work material; striations of the black surface of his paintings enable him to reflect light, allowing the black to come out of darkness and into brightness, thus becoming a luminous colour.
Soulages produced 104 stained-glass windows for the Romanesque architecture of the Abbey Church of Sainte-Foy in Conques from 1987 to 1994. He received international awards, and the Louvre in Paris held a retrospective of his works on the occasion of his centenary.",https://en.wikipedia.org/wiki/Pierre_Soulages
3004,Pierre_Toutain-Dorbec,Pierre Toutain-Dorbec,"Pierre Toutain-Dorbec, (born 16 April 1951) in Orbec, Normandy, France is a Franco-American photographer, artist, author, and publisher whose work emphasizes a humanist perspective.",https://en.wikipedia.org/wiki/Pierre_Toutain-Dorbec
3005,Pierre-Auguste_Renoir,Pierre-Auguste Renoir,"Pierre-Auguste Renoir (French: [pjɛʁ oɡyst ʁənwaʁ]; 25 February 1841 – 3 December 1919) was a French artist who was a leading painter in the development of the Impressionist style. As a celebrator of beauty and especially feminine sensuality, it has been said that ""Renoir is the final representative of a tradition which runs directly from Rubens to Watteau.""
He was the father of actor Pierre Renoir (1885–1952), filmmaker Jean Renoir (1894–1979) and ceramic artist Claude Renoir (1901–1969). He was the grandfather of the filmmaker Claude Renoir (1913–1993), son of Pierre.",https://en.wikipedia.org/wiki/Pierre-Auguste_Renoir
3006,Pierre-Joseph_Redouté,Pierre-Joseph Redouté,"Pierre-Joseph Redouté (French pronunciation: [pjɛʁ ʒozɛf ʁədute], 10 July 1759 – 19 June 1840), was a painter and botanist from Belgium, known for his watercolours of roses, lilies and other flowers at the Château de Malmaison, many of which were published as large coloured stipple engravings. He was nicknamed ""the Raphael of flowers"" and has been called the greatest botanical illustrator of all time.
Redouté was an official court artist of Marie Antoinette, and continued painting through the French Revolution and Reign of Terror. He survived the turbulent political upheaval to gain international recognition for his precise renderings of plants, which remain as fresh in the early 21st century as when first painted. He combined great artistic skills with a pleasing and ingratiating personality which assisted him with his influential patrons. After Queen Marie-Antoinette, his patrons included both of Napoleon's wives – Empress Joséphine and Marie Louise, Duchess of Parma – as well as Maria Amalia of Naples and Sicily, wife of Louis Philippe I, the last king of France.
Redouté collaborated with the greatest botanists of his day and participated in nearly fifty publications depicting both the familiar flowers of the French court and plants from places as distant as Japan, America, South Africa, and Australia. He worked from live plants rather than herbarium specimens, which contributed to his fresh subtle renderings. He was painting during a period in botanical illustration (1798 – 1837) that is noted for the publication of outstanding folio editions with coloured plates.  Redouté produced over 2,100 published plates depicting over 1,800 different species, many never rendered before. Of the French botanical illustrators employed in the French capital, Redouté is the one who remains in the public consciousness today. He is seen as an important heir to the tradition of the Flemish and Dutch flower painters Brueghel, Ruysch, van Huysum and de Heem.",https://en.wikipedia.org/wiki/Pierre-Joseph_Redout%C3%A9
3007,Piet_Mondrian,Piet Mondrian,"Pieter Cornelis Mondriaan (Dutch: [ˈpi:tər kɔrˈneːlɪs ˈmɔndrijaːn]), after 1906 known as Piet Mondrian (, also US: , Dutch: [pit ˈmɔndrijɑn]; 7 March 1872 – 1 February 1944), was a Dutch painter and art theoretician who is regarded as one of the greatest artists of the 20th century. He is known for being one of the pioneers of 20th-century abstract art, as he changed his artistic direction from figurative painting to an increasingly abstract style, until he reached a point where his artistic vocabulary was reduced to simple geometric elements.
Mondrian's art was highly utopian and was concerned with a search for universal values and aesthetics. He proclaimed in 1914: ""Art is higher than reality and has no direct relation to reality. To approach the spiritual in art, one will make as little use as possible of reality, because reality is opposed to the spiritual. We find ourselves in the presence of an abstract art. Art should be above reality, otherwise it would have no value for man.""
He was a contributor to the De Stijl art movement and group, which he co-founded with Theo van Doesburg. He evolved a non-representational form which he termed Neoplasticism. This was the new 'pure plastic art' which he believed was necessary in order to create 'universal beauty'. To express this, Mondrian eventually decided to limit his formal vocabulary to the three primary colors (red, blue and yellow), the three primary values (black, white and gray) and the two primary directions (horizontal and vertical). Mondrian's arrival in Paris from the Netherlands in 1911 marked the beginning of a period of profound change. He encountered experiments in Cubism and with the intent of integrating himself within the Parisian avant-garde removed an 'a' from the Dutch spelling of his name (Mondriaan).
Mondrian's work had an enormous influence on 20th century art, influencing not only the course of abstract painting and numerous major styles and art movements (e.g. Color Field painting, Abstract Expressionism and Minimalism), but also fields outside the domain of painting, such as design, architecture and fashion. Design historian Stephen Bayley said: ""Mondrian has come to mean Modernism. His name and his work sum up the High Modernist ideal. I don't like the word 'iconic', so let's say that he's become totemic – a totem for everything Modernism set out to be.""",https://en.wikipedia.org/wiki/Piet_Mondrian
3008,Pieter_Aertsen,Pieter Aertsen,"Pieter Aertsen (1508, Amsterdam – 2 June 1575, Amsterdam), called Lange Piet (""Tall Pete"") because of his height, was a Dutch painter in the style of Northern Mannerism.  He is credited with the invention of the monumental genre scene, which combines still life and genre painting and often also includes a biblical scene in the background. He was active in his native city Amsterdam but also worked for a long period in Antwerp, then the centre of artistic life in the Netherlands.
His genre scenes were influential on later Flemish Baroque painting, Dutch still life painting and also in Italy. His peasant scenes preceded by a few years the much better-known paintings produced in Antwerp by Pieter Bruegel the Elder.",https://en.wikipedia.org/wiki/Pieter_Aertsen
3009,Pieter_Anthonisz._van_Groenewegen,Pieter Anthonisz. van Groenewegen,"Pieter Anthonisz. van Groenewegen (1590/1600–1658) was a Dutch Golden Age landscape painter.
Groenewegen, who was born in Delft, primarily painted landscapes. He traveled to Italy and between ca. 1615-1623 he lived on Via Bocca de Leone in Rome, where he became a member of the Bentvueghels with the nickname ""Leeuw""(Lion). He returned to Delft where he became a member of the Guild of Saint Luke in 1626, but spent the last few years of his life in The Hague, where he joined the Confrerie Pictura in 1657. He died there in the following year.
Many of his works now reside at the Rijksmuseum Amsterdam.",https://en.wikipedia.org/wiki/Pieter_Anthonisz._van_Groenewegen
3010,Pieter_Bruegel_the_Elder,Pieter Bruegel the Elder,"Pieter Bruegel (also Brueghel or Breughel) the Elder ( BROY-gəl, also US:  BROO-gəl; Dutch: [ˈpitər ˈbrøːɣəl] ; c. 1525–1530 – 9 September 1569) was among the most significant artists of Dutch and Flemish Renaissance painting, a painter and printmaker, known for his landscapes and peasant scenes (so-called genre painting); he was a pioneer in presenting both types of subject as large paintings.
He was a formative influence on Dutch Golden Age painting and later painting in general in his innovative choices of subject matter, as one of the first generation of artists to grow up when religious subjects had ceased to be the natural subject matter of painting. He also painted no portraits, the other mainstay of Netherlandish art. After his training and travels to Italy, he returned in 1555 to settle in Antwerp, where he worked mainly as a prolific designer of prints for the leading publisher of the day. At the end of the 1550s, he switched to make painting his main medium, and all his famous paintings come from the following period of little more than a decade before his early death in 1569, when he was probably in his early forties.
In the 20th and 21st centuries, Bruegel's works have inspired artists in both the literary arts and in cinema. His painting Landscape with the Fall of Icarus, now thought only to survive in copies, is the subject of the final lines of the 1938 poem ""Musée des Beaux Arts"" by W. H. Auden. Russian film director Andrei Tarkovsky refers to Bruegel's paintings in his films several times, notably in Solaris (1972) and The Mirror (1975). Director Lars von Trier also uses Bruegel's paintings in his film Melancholia (2011). In 2011, the film production titled The Mill and the Cross was released featuring Bruegel's The Procession to Calvary (Bruegel).",https://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder
